first-name,last-name,company-title,company-name,website
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
Keren,Moynihan ,CEO,Boss Insights,https://bossinsights.com
Jimmy,Chang,Director,Piper Sandler,
Alastair,Thompson,"BD Director, Partnerships - Americas",Payoneer,
Danny,Mezzancello,"VP, Business Development",Resurgent Capital Services,
Stacey,Schacter,CEO,Vion Investments,https://vioninv.com/
Scott,Griest,COO,PrimaHealth Credit,https://www.primahealthcredit.com/
Egill Almar,Agustsson,Co-founder and CEO,Standby Deposits,
Luca,Frignani,CEO,Exaloan AG,https://www.exaloan.com/
Ariel,Lowinger,CCO,Ayalon Alternative,
Misha,Polovneff,"VP, Corporate Development","BHG VC, BHG Financial",
Lucas,Timberlake,General Partner ,Fintech Ventures Fund,https://www.fintechv.com/
Reuven,Mirlis,Chief Executive Officer,Fintap,
